
---- CODIGOS SHANNON FANO ----

CARACTER -----     PROBABILIDAD     ------     CODIGO     -----     INFORMACION     -----     ENTROPIA TOTAL     -----     LONG MEDIA     ----     RENDIMIENTO     --- REDUNDANCIA

- que -			0,058				00000 			 4,118			 9,228				 9,307			 0,992		 0,008
- vida. -			0,000				101100001001 			 11,885				- 					- 
- corso, -			0,000				101100001010 			 11,885				- 					- 
- treinta -			0,000				101100001011 			 11,885				- 					- 
- primera -			0,000				101100001100 			 11,885				- 					- 
- sí, -			0,000				101100001101 			 11,885				- 					- 
- respondió: -			0,000				10110000111 			 11,885				- 					- 
- Ella -			0,000				101100010000 			 11,885				- 					- 
- Zoraida. -			0,000				101100010001 			 11,885				- 					- 
- has -			0,000				101100010010 			 11,885				- 					- 
- mujer -			0,000				101100010011 			 11,885				- 					- 
- fondo -			0,000				101100010100 			 11,885				- 					- 
- hace -			0,000				101100010101 			 11,885				- 					- 
- di -			0,000				101100010110 			 11,885				- 					- 
- cristiana, -			0,000				101100010111 			 11,885				- 					- 
- sabe -			0,000				101100011000 			 11,885				- 					- 
- casa, -			0,000				101100011001 			 11,885				- 					- 
- veces, -			0,000				101100011010 			 11,885				- 					- 
- viento -			0,000				101100011011 			 11,885				- 					- 
- vela -			0,000				101100011100 			 11,885				- 					- 
- cuán -			0,000				101100011101 			 11,885				- 					- 
- traía -			0,000				10110001111 			 11,885				- 					- 
- tanto, -			0,000				101100100000 			 11,885				- 					- 
- ahora -			0,000				101100100001 			 11,885				- 					- 
- estábamos -			0,000				101100100010 			 11,885				- 					- 
- llegamos -			0,000				101100100011 			 11,885				- 					- 
- dimos -			0,000				101100100100 			 11,885				- 					- 
- podría -			0,000				101100100101 			 11,885				- 					- 
- parecía, -			0,000				101100100110 			 11,885				- 					- 
- pie -			0,000				101100100111 			 11,885				- 					- 
- Berbería -			0,000				101100101000 			 11,885				- 					- 
- pastor -			0,000				101100101001 			 11,885				- 					- 
- dijo, -			0,000				101100101010 			 11,885				- 					- 
- Dios, -			0,000				101100101011 			 11,885				- 					- 
- éramos -			0,000				101100101100 			 11,885				- 					- 
- sazón -			0,000				101100101101 			 11,885				- 					- 
- gracias -			0,000				10110010111 			 11,885				- 					- 
- mismo -			0,000				101100110000 			 11,885				- 					- 
- hecha -			0,000				101100110001 			 11,885				- 					- 
- quedamos -			0,000				101100110010 			 11,885				- 					- 
- parece -			0,000				101100110011 			 11,885				- 					- 
- quisiera -			0,000				101100110100 			 11,885				- 					- 
- cosas -			0,000				101100110101 			 11,885				- 					- 
- sea -			0,000				10110011011 			 11,885				- 					- 
- hora -			0,000				101100111000 			 11,885				- 					- 
- diez -			0,000				101100111001 			 11,885				- 					- 
- habiendo -			0,000				101100111010 			 11,885				- 					- 
- hombres -			0,000				101100111011 			 11,885				- 					- 
- doncella, -			0,000				101100111100 			 11,885				- 					- 
- cautivo, -			0,000				101100111101 			 11,885				- 					- 
- sabía -			0,000				10110011111 			 11,885				- 					- 
- visto -			0,000				101101000000 			 11,885				- 					- 
- supo -			0,000				101101000001 			 11,885				- 					- 
- quedado -			0,000				101101000010 			 11,885				- 					- 
- eso -			0,000				101101000011 			 11,885				- 					- 
- nombre -			0,000				101101000100 			 11,885				- 					- 
- Constantinopla, -			0,000				101101000101 			 11,885				- 					- 
- -Y -			0,000				101101000110 			 11,885				- 					- 
- caso -			0,000				101101000111 			 11,885				- 					- 
- hombre -			0,000				101101001000 			 11,885				- 					- 
- mejores -			0,000				101101001001 			 11,885				- 					- 
- pocos -			0,000				101101001010 			 11,885				- 					- 
- años, -			0,000				101101001011 			 11,885				- 					- 
- valor -			0,000				101101001100 			 11,885				- 					- 
- brazo -			0,000				101101001101 			 11,885				- 					- 
